city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
newyork,974665730836678868_322604369,Amaro,1430409231,-74.042312,40.737736,2,0,#3a2239,#d4cfce,#736b79,#8b829f,#a48ca4
moscow,974688519310589337_305637606,Normal,1430411947,37.61,55.7512,7,0,#716d70,#f9f6f5,#2a323b,#d3b4a6,#443c44
paris,974679649062385798_145177717,Normal,1430410890,2.297941401,48.896475217,0,0,#d5cec8,#2a2921,#4d473b,#6d6652,#7d756a
london,974663506511863277_852322886,Crema,1430408965,-0.129763,51.504095,0,0,#475252,#d6c8cf,#8ca4bd,#957e79,#b0becd
moscow,974688813161305147_34910436,Normal,1430411982,37.64708,55.721121667,0,0,#b59896,#38382d,#6d2c48,#ececdd,#745c3a
paris,974693449128778783_425088622,Aden,1430412535,2.325300686,48.884096951,5,0,#d4b8ac,#683137,#a66a64,#94564a,#6d5f55
moscow,974697904158562277_1315563092,Normal,1430413066,37.67380711,55.764883972,2,0,#4c3f4a,#f1f0f0,#638c9d,#a8999a,#a38375
london,974696857076983132_10599312,Normal,1430412941,-0.158261856,51.515322217,0,0,#5d81b9,#dfe2ea,#2c2b2c,#9cc1ec,#2c3c5c
berlin,974688573013206436_1946384,Aden,1430411954,13.401081343,52.529969985,2,0,#3c282e,#ba7c68,#cbc1c4,#835754,#9c8c87
tehran,974702582467353466_1677757005,Juno,1430413624,51.3746954,35.6835791,1,0,#b9c5c8,#2d3c3a,#565d51,#677b84,#5a5966
stockholm,974702850859323639_292065499,Ludwig,1430413656,17.980475714,59.385269112,6,0,#0f1c18,#c5a15d,#5a6464,#7c8c80,#84543c
moscow,974690760697988954_216854240,Inkwell,1430412214,37.62171389,55.76985337,2,0,#626262,#c9c9c9,#1a1a1a,#acacac,#a4a4a4
london,974730767849361686_193249995,Normal,1430416984,-0.136421343,51.51299148,14,1,#e7e7de,#94532b,#452c1f,#ae844d,#95a9a9
rome,974724909580950454_181364869,Normal,1430416285,12.471269609,41.895154339,0,0,#373739,#d7c09e,#898173,#9ea8b1,#7389ae
london,974726660102518960_220835221,Crema,1430416494,-0.1455107,51.540283211,2,0,#2e252c,#d3cabb,#7f6659,#98968a,#948c94
london,974748068470524252_9703009,Ludwig,1430419046,-0.1367805,51.514213333,0,0,#1e1a10,#d1ccc4,#70695f,#8c8c85,#8c848c
moscow,974736895354601142_350361278,Normal,1430417714,37.63509124,55.744051581,3,0,#d7cfcc,#1a171a,#91a0a8,#806a68,#7e829a
rome,974746831100915933_5633403,Valencia,1430418898,12.510867425,41.893103639,0,0,#865273,#2b153d,#e0c6b0,#b278cc,#cf9299
paris,974731258110405869_3167298,Juno,1430417042,2.301048563,48.843692205,35,0,#6dadb5,#292332,#cbd8cb,#4f5975,#4d4549
paris,974752051044930661_2034046908,Normal,1430419521,2.286777875,48.841623125,1,0,#1e1b18,#c3a690,#8c8c7c,#888284,#945454
rome,974733645743834671_392992,Normal,1430417327,12.49000538,41.907093629,0,0,#48413a,#d4b9b1,#a07e72,#a1b5c1,#829cb5
moscow,974732332005884227_285864895,Normal,1430417170,37.681538333,55.744766667,1,0,#373a3b,#cccabc,#857e70,#90a3b7,#94a67e
berlin,974755634879466331_1501194929,Normal,1430419948,13.36748424,52.505813199,0,0,#33332c,#b5a8a5,#798297,#867f51,#999c87
berlin,974731574043093153_299108209,Normal,1430417080,13.400907,52.500536,0,0,#85958a,#e1b99b,#199497,#4b1c26,#6f5d31
moscow,974742585615171762_565640623,Reyes,1430418392,37.691388889,55.765,0,0,#53493e,#dcd4b1,#c4b088,#a29b75,#99a1a9
london,974754431984448332_448987795,Normal,1430419805,-0.129763,51.504095,2,0,#3d481e,#dbb053,#9b7b3a,#a6ba7d,#a39e9c
london,974747626681439927_22555036,Valencia,1430418993,-0.089437427,51.528280576,0,0,#7d6e66,#d6d4ba,#2a172d,#d1a289,#9593bc
london,974736779583185696_180476047,X-Pro II,1430417700,-0.1455107,51.540283211,2,0,#d29e81,#1e1230,#7e334d,#849d61,#80789a
stockholm,974737975530362879_281156,Normal,1430417843,18.048957489,59.339460555,3,1,#82786f,#d7bc94,#ecd1a7,#a9a8a5,#e7e6d9
berlin,974741586165026698_180907738,Normal,1430418273,13.397777778,52.520555556,0,0,#50483a,#d0e7d8,#8e8d7a,#a6947c,#a3a89d
