city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,Average_Color
london,954612852590779278_33368205,Ludwig,1428018741,-0.17738,51.495525,2,0,#947b64
tokyo,954776027732320994_200180711,Normal,1428038193,139.794928079,35.712117142,1,0,#6b605a
seoul,954817442876588488_5120095,Ludwig,1428043130,126.994896667,37.52903,0,0,#9d947d
seoul,954796229110725793_1506770446,Normal,1428040601,127.024020808,37.520267873,3,0,#a98d77
stockholm,955084693525895150_25125388,Valencia,1428074989,18.0088,59.327213333,1,0,#8c7c78
tehran,954873108584614462_490509241,Normal,1428049766,51.4247463,35.7212656,0,0,#898f83
london,955103528410057894_583326698,Normal,1428077234,-0.124533333,51.50793,1,0,#88726f
paris,955077834576242960_220219361,Normal,1428074171,2.311447923,48.904423936,0,0,#7f7d79
tokyo,954883670002200670_27229955,Ludwig,1428051025,139.753527508,35.662701393,1,1,#ab6f49
stockholm,955088727197930344_35591843,Normal,1428075470,18.050630681,59.349191795,8,1,#9c7b75
tokyo,955080388919910879_1285215,Normal,1428074476,139.759625985,35.691771922,3,0,#8e6847
paris,955070608386533229_1719109840,Normal,1428073310,2.335533333,48.875725,0,0,#81766c
paris,954883223129376142_16751744,Ludwig,1428050972,2.308834246,48.869412194,1,0,#88556f
tokyo,955101040214570080_554496564,Rise,1428076938,139.709428333,35.686745,0,0,#887c79
tokyo,954952734280540545_253911303,Normal,1428059258,139.775669877,35.708975016,0,0,#9f8d6d
newyork,955103046518657482_32292259,Ludwig,1428077177,-74.0424077,40.7658638,0,0,#9c806b
london,955134721180934394_10347151,Crema,1428080953,-0.121311167,51.512558333,1,0,#7b7368
london,955114393204048784_309544751,Ludwig,1428078529,-0.15438793,51.518357315,0,0,#8b5b3c
newyork,955148431733480866_1699854022,Normal,1428082587,-74.034184977,40.740741753,7,0,#767386
paris,955138399082862066_182872772,Normal,1428081391,2.332905928,48.828304425,0,0,#9d957d
tokyo,955108151129059387_31637091,Hefe,1428077785,139.7841264,35.7106015,1,0,#966746
london,955129248831461937_1378433029,Normal,1428080300,-0.141304246,51.547929649,1,0,#93967b
rome,955134867417922258_178160573,Rise,1428080970,12.4611424,41.9179014,0,0,#9f888d
tokyo,954917285201322137_585899999,Nashville,1428055032,139.760000259,35.665501707,0,0,#8e8680
seoul,955142042807157040_1360111007,Normal,1428081826,127.018778296,37.570297292,4,1,#9ea493
tehran,954914850740841075_1402117505,Normal,1428054742,51.388182568,35.681226485,0,0,#90606d
rome,954974687975810128_490479712,Hefe,1428061875,12.5098195,41.90254247,1,0,#859181
moscow,955150229517197994_1289895087,Normal,1428082801,37.674007847,55.731117292,8,0,#787476
moscow,954970891835173352_6777841,Normal,1428061423,37.598665808,55.781828453,2,0,#aa9f95
tokyo,954991440533217257_1445342,Normal,1428063872,139.793934243,35.69183432,0,0,#888e8c
london,954981331383137979_262053628,Normal,1428062667,-0.17017,51.48677,10,0,#8f8d8e
paris,955161263014919552_9483566,Normal,1428084117,2.335632353,48.848812733,4,0,#948c86
london,953775676983722649_262490367,Skyline,1427918942,-0.154500811,51.56317327,0,0,#505f4d
tokyo,953890427590748137_13873144,Normal,1427932621,139.730316667,35.659983333,0,0,#9c999a
newyork,953860475000773282_1402538381,Normal,1427929051,-74.035286167,40.750603333,3,0,#a37e6e
tokyo,953929513841106229_877744262,Crema,1427937281,139.752037631,35.695625613,0,0,#8b807b
